Row-number,IATI-XML,IATI-Section,IATI-Item,Proposed-IATI-Field,Proposed-HXL-Hashtag,Proposed-Database-Field,Notes
448,iati-activities/iati-activity/result/indicator/period/actual/document-link/@format,,format,,,,
449,iati-activities/iati-activity/result/indicator/period/actual/document-link/title,,title,,,,
450,iati-activities/iati-activity/result/indicator/period/actual/document-link/title/narrative,,narrative,,,,
451,iati-activities/iati-activity/result/indicator/period/actual/document-link/title/narrative/text(),,,,,,
452,iati-activities/iati-activity/result/indicator/period/actual/document-link/title/narrative/@xml:lang,,xml:lang,,,,
453,iati-activities/iati-activity/result/indicator/period/actual/document-link/description,,description,,,,
454,iati-activities/iati-activity/result/indicator/period/actual/document-link/description/narrative,,narrative,,,,
455,iati-activities/iati-activity/result/indicator/period/actual/document-link/description/narrative/text(),,,,,,
456,iati-activities/iati-activity/result/indicator/period/actual/document-link/description/narrative/@xml:lang,,xml:lang,,,,
457,iati-activities/iati-activity/result/indicator/period/actual/document-link/category,,category,,,,
458,iati-activities/iati-activity/result/indicator/period/actual/document-link/category/@code,,code,,,,
459,iati-activities/iati-activity/result/indicator/period/actual/document-link/language,,language,,,,
460,iati-activities/iati-activity/result/indicator/period/actual/document-link/language/@code,,code,,,,
461,iati-activities/iati-activity/result/indicator/period/actual/document-link/document-date,,document-date,,,,
462,iati-activities/iati-activity/result/indicator/period/actual/document-link/document-date/@iso-date,,iso-date,,,,
463,iati-activities/iati-activity/crs-add,crs-add,,,,,
464,iati-activities/iati-activity/crs-add/other-flags,,other-flags,,,,
465,iati-activities/iati-activity/crs-add/other-flags/@code,,code,,,,
466,iati-activities/iati-activity/crs-add/other-flags/@significance,,significance,,,,
467,iati-activities/iati-activity/crs-add/loan-terms,,loan-terms,,,,
468,iati-activities/iati-activity/crs-add/loan-terms/@rate-1,,rate-1,,,,
469,iati-activities/iati-activity/crs-add/loan-terms/@rate-2,,rate-2,,,,
470,iati-activities/iati-activity/crs-add/loan-terms/repayment-type,,repayment-type,,,,
471,iati-activities/iati-activity/crs-add/loan-terms/repayment-type/@code,,code,,,,
472,iati-activities/iati-activity/crs-add/loan-terms/repayment-plan,,repayment-plan,,,,
473,iati-activities/iati-activity/crs-add/loan-terms/repayment-plan/@code,,code,,,,
474,iati-activities/iati-activity/crs-add/loan-terms/commitment-date,,commitment-date,,,,
475,iati-activities/iati-activity/crs-add/loan-terms/commitment-date/@iso-date,,iso-date,,,,
476,iati-activities/iati-activity/crs-add/loan-terms/repayment-first-date,,repayment-first-date,,,,
477,iati-activities/iati-activity/crs-add/loan-terms/repayment-first-date/@iso-date,,iso-date,,,,
478,iati-activities/iati-activity/crs-add/loan-terms/repayment-final-date,,repayment-final-date,,,,
479,iati-activities/iati-activity/crs-add/loan-terms/repayment-final-date/@iso-date,,iso-date,,,,
480,iati-activities/iati-activity/crs-add/loan-status,,loan-status,,,,
481,iati-activities/iati-activity/crs-add/loan-status/@year,,year,,,,
482,iati-activities/iati-activity/crs-add/loan-status/@currency,,currency,,,,
483,iati-activities/iati-activity/crs-add/loan-status/@value-date,,value-date,,,,
484,iati-activities/iati-activity/crs-add/loan-status/interest-received,,interest-received,,,,
485,iati-activities/iati-activity/crs-add/loan-status/principal-outstanding,,principal-outstanding,,,,
486,iati-activities/iati-activity/crs-add/loan-status/principal-arrears,,principal-arrears,,,,
487,iati-activities/iati-activity/crs-add/loan-status/interest-arrears,,interest-arrears,,,,
488,iati-activities/iati-activity/crs-add/channel-code,,channel-code,,,,
489,iati-activities/iati-activity/fss,fss,,,,,
490,iati-activities/iati-activity/fss/@extraction-date,,extraction-date,,,,
491,iati-activities/iati-activity/fss/@priority,,priority,,,,
492,iati-activities/iati-activity/fss/@phaseout-year,,phaseout-year,,,,
493,iati-activities/iati-activity/fss/forecast,,forecast,,,,
494,iati-activities/iati-activity/fss/forecast/text(),,,,,,
495,iati-activities/iati-activity/fss/forecast/@year,,year,,,,
496,iati-activities/iati-activity/fss/forecast/@currency,,currency,,,,
497,iati-activities/iati-activity/fss/forecast/@value-date,,value-date,,,,
